3.09,2.52
3.10,2.52
3.08,2.56
3.41,2.94
3.46,2.64
3.55,2.80
3.28,2.82
3.26,2.64
3.31,2.71
3.21,2.35
3.17,2.43
3.16,2.43
3.60,2.39
3.58,2.70
3.20,2.63
3.58,3.29
3.64,2.51
3.40,3.04
3.52,2.55
3.50,2.42
3.42,2.79
3.20,2.99
3.83,3.23
3.24,2.81
3.77,2.71
3.36,2.78
3.27,2.53
3.22,2.54
3.18,2.49
3.23,2.48
3.77,2.82
3.40,3.06
3.53,2.76
3.34,3.08
3.44,3.03
3.57,3.05
2.89,3.00
3.36,2.69
3.55,2.72
2.89,2.45
3.00,2.25
2.99,2.37
3.30,2.70
2.86,2.78
3.40,2.69
3.41,2.75
3.48,1.97
3.38,2.65
3.23,2.78
3.34,2.33
2.90,2.32
2.88,2.45
3.37,2.80
3.41,2.39
3.27,2.62
3.31,2.84
3.68,2.30
3.24,2.83
3.48,2.70
3.38,2.62
3.24,2.27
3.12,2.51
3.11,2.51
