10.55,2.41
10.86,3.19
9.74,6.12
11.14,3.97
11.59,3.00
11.75,3.48
11.33,2.75
9.12,1.83
9.51,1.90
9.17,2.06
9.97,2.26
10.86,3.43
7.39,4.95
9.54,3.03
10.65,2.36
9.59,2.29
10.68,2.95
9.77,4.07
7.77,4.62
12.29,5.23
12.33,3.90
10.49,3.41
9.11,5.01
9.59,3.65
11.15,3.19
10.63,3.09
10.18,3.35
10.14,2.71
11.20,4.37
9.31,7.09
14.66,3.89
12.43,3.72
8.31,3.84
8.09,4.87
7.10,3.20
12.25,3.72
9.92,3.81
9.08,3.28
10.44,4.03
9.09,3.25
10.66,3.00
9.81,3.46
9.88,3.03
9.58,3.33
10.88,2.67
10.62,3.43
10.96,3.05
10.77,3.54
10.98,3.29
11.11,3.91
11.32,3.76
11.44,3.64
12.16,5.35
11.11,6.85
8.43,6.70
9.66,5.92
9.54,3.35
11.19,4.66
9.33,7.70
7.88,4.35
8.18,4.06
7.84,4.97
