5.12,7.81
3.07,7.81
3.90,8.63
6.41,9.56
7.48,10.99
7.19,10.13
4.76,9.35
4.45,7.39
5.17,7.51
7.07,6.96
5.38,7.78
4.82,6.86
5.08,7.17
5.15,6.98
4.55,7.07
5.36,7.53
4.60,7.23
4.45,7.30
4.19,7.32
5.71,8.17
5.92,8.07
4.09,7.72
3.16,8.22
3.80,7.25
7.49,7.76
5.02,7.71
3.51,8.01
4.29,7.81
5.06,8.02
7.12,9.93
7.33,8.69
4.67,7.61
3.26,7.03
4.41,8.25
5.79,9.06
4.04,9.03
3.24,12.92
2.68,11.19
3.45,10.56
2.68,10.51
3.46,10.42
2.48,10.51
2.62,10.30
2.68,10.64
2.89,7.14
6.38,8.51
3.93,7.90
3.32,7.65
7.37,7.28
5.33,5.44
8.08,7.15
5.56,7.35
6.12,7.58
6.12,7.37
5.64,7.26
7.33,8.30
5.02,7.18
4.61,7.39
4.28,7.28
4.26,7.14
4.52,7.45
4.95,7.45
5.24,7.01
5.10,7.69
